prb_id,probe_src,dst_addr,hop,hop_from,hop_to,rtt
60995,79.88.105.191,192.203.230.10,5,77.154.229.161,194.6.147.164,16.141
60995,79.88.105.191,192.203.230.10,6,194.6.147.164,162.158.20.24,45.381
60995,79.88.105.191,192.203.230.10,7,162.158.20.24,162.158.20.55,23.651
60995,79.88.105.191,192.203.230.10,8,162.158.20.55,192.203.230.10,23.049
61376,37.49.112.113,192.203.230.10,1,37.49.112.113,192.168.102.1,0.783
61376,37.49.112.113,192.203.230.10,2,192.168.102.1,37.49.113.253,9.237
61376,37.49.112.113,192.203.230.10,3,37.49.113.253,81.210.148.172,21.84
61376,37.49.112.113,192.203.230.10,4,81.210.148.172,145.253.48.16,18.068
61376,37.49.112.113,192.203.230.10,5,145.253.48.16,145.254.1.230,19.0
61376,37.49.112.113,192.203.230.10,6,145.254.1.230,145.254.1.214,15.053
61376,37.49.112.113,192.203.230.10,7,145.254.1.214,192.203.230.10,18.968
62462,63.135.76.101,192.203.230.10,1,63.135.76.101,10.10.0.1,0.819
62462,63.135.76.101,192.203.230.10,2,10.10.0.1,63.135.72.1,2.219
62462,63.135.76.101,192.203.230.10,3,63.135.72.1,*,
62462,63.135.76.101,192.203.230.10,4,63.135.72.1,10.18.0.198,8.354
62462,63.135.76.101,192.203.230.10,5,10.18.0.198,185.232.119.187,8.174
62462,63.135.76.101,192.203.230.10,6,185.232.119.187,45.92.46.24,12.163
62462,63.135.76.101,192.203.230.10,7,45.92.46.24,172.16.6.46,15.685
62462,63.135.76.101,192.203.230.10,8,172.16.6.46,162.158.32.40,21.062
62462,63.135.76.101,192.203.230.10,9,162.158.32.40,162.158.32.9,13.791
62462,63.135.76.101,192.203.230.10,10,162.158.32.9,192.203.230.10,12.984
62559,184.22.230.67,192.203.230.10,1,184.22.230.67,10.25.0.1,1.113
62559,184.22.230.67,192.203.230.10,2,10.25.0.1,100.124.0.1,3.271
62559,184.22.230.67,192.203.230.10,3,100.124.0.1,49.228.5.97,3.429
62559,184.22.230.67,192.203.230.10,4,49.228.5.97,49.228.5.132,3.565
62559,184.22.230.67,192.203.230.10,5,49.228.5.132,49.228.5.120,3.9
62559,184.22.230.67,192.203.230.10,6,49.228.5.120,49.228.5.64,23.195
62559,184.22.230.67,192.203.230.10,7,49.228.5.64,49.228.5.78,3.832
62559,184.22.230.67,192.203.230.10,8,49.228.5.78,49.231.119.167,4.504
62559,184.22.230.67,192.203.230.10,9,49.231.119.167,192.203.230.10,4.087
62761,83.215.142.33,192.203.230.10,1,83.215.142.33,10.100.99.1,0.977
62761,83.215.142.33,192.203.230.10,2,10.100.99.1,10.181.224.1,11.509
62761,83.215.142.33,192.203.230.10,3,10.181.224.1,194.107.134.245,11.084
62761,83.215.142.33,192.203.230.10,4,194.107.134.245,194.107.134.14,10.105
62761,83.215.142.33,192.203.230.10,5,194.107.134.14,213.153.33.113,17.705
62761,83.215.142.33,192.203.230.10,6,213.153.33.113,80.81.194.42,18.773
62761,83.215.142.33,192.203.230.10,7,80.81.194.42,192.203.230.10,17.023
6506,139.180.132.31,192.203.230.10,1,139.180.132.31,*,
6506,139.180.132.31,192.203.230.10,2,139.180.132.31,100.100.100.1,0.275
6506,139.180.132.31,192.203.230.10,3,100.100.100.1,10.79.1.61,6.869
6506,139.180.132.31,192.203.230.10,4,10.79.1.61,10.79.1.162,0.363
6506,139.180.132.31,192.203.230.10,5,10.79.1.162,27.111.228.132,0.634
6506,139.180.132.31,192.203.230.10,6,27.111.228.132,172.69.117.45,2.481
6506,139.180.132.31,192.203.230.10,7,172.69.117.45,192.203.230.10,1.025
6783,109.230.208.226,192.203.230.10,1,109.230.208.226,45.159.5.225,0.202
6783,109.230.208.226,192.203.230.10,2,45.159.5.225,206.82.104.68,2.092
6783,109.230.208.226,192.203.230.10,3,206.82.104.68,162.158.61.111,10.175
6783,109.230.208.226,192.203.230.10,4,162.158.61.111,192.203.230.10,1.713
